county,category,MHHW,10yr,100yr,total
Beaufort,Current,0,30181,33259,63440
Beaufort,20 cm,5604,36236,32448,74288
Beaufort,40 cm,19693,33196,33121,86010
Beaufort,100 cm,53927,48432,57039,159398
Bertie,Current,0,25559,6114,31673
Bertie,20 cm,15872,12890,4336,33098
Bertie,40 cm,23497,6759,4015,34271
Bertie,100 cm,29862,6129,10631,46622
Brunswick,Current,0,12357,9238,21595
Brunswick,20 cm,3123,10526,9615,23264
Brunswick,40 cm,5724,9944,9710,25378
Brunswick,100 cm,10984,10103,10950,32037
Camden,Current,0,31786,9763,41549
Camden,20 cm,5443,30338,9700,45481
Camden,40 cm,21817,16569,13382,51768
Camden,100 cm,39060,23727,28764,91551
Carteret,Current,0,72619,63560,136179
Carteret,20 cm,13208,79997,60786,153991
Carteret,40 cm,36651,72506,64019,173176
Carteret,100 cm,97978,75666,35931,209575
Chowan,Current,0,6236,2281,8517
Chowan,20 cm,1557,5480,2371,9408
Chowan,40 cm,4108,3597,2501,10206
Chowan,100 cm,7646,3531,5466,16643
Craven,Current,0,22935,18965,41900
Craven,20 cm,7178,18845,20498,46521
Craven,40 cm,11156,18144,22147,51447
Craven,100 cm,21676,24863,27260,73799
Currituck,Current,0,48916,23397,72313
Currituck,20 cm,7402,55071,14648,77121
Currituck,40 cm,29787,38131,15068,82986
Currituck,100 cm,68671,26871,28170,123712
Dare,Current,0,109977,76582,186559
Dare,20 cm,12686,137179,45692,195557
Dare,40 cm,72443,102857,29548,204848
Dare,100 cm,182625,30948,12871,226444
Gates,Current,0,20309,4138,24447
Gates,20 cm,6710,15040,3641,25391
Gates,40 cm,16933,5846,3556,26335
Gates,100 cm,22632,4958,5236,32826
Hertford,Current,0,10564,3536,14100
Hertford,20 cm,4959,6526,3607,15092
Hertford,40 cm,8675,3596,3812,16083
Hertford,100 cm,12175,4577,4526,21278
Hyde,Current,0,180423,127151,307574
Hyde,20 cm,8234,239737,74959,322930
Hyde,40 cm,96312,194177,45097,335586
Hyde,100 cm,304409,44146,36300,384855
New Hanover,Current,0,11446,5844,17290
New Hanover,20 cm,3137,9199,5790,18126
New Hanover,40 cm,6042,7369,5807,19218
New Hanover,100 cm,9677,6660,5520,21857
Onslow,Current,0,18244,10975,29219
Onslow,20 cm,6311,13955,11083,31349
Onslow,40 cm,10541,11407,11389,33337
Onslow,100 cm,17411,11557,12501,41469
Pamlico,Current,0,39750,30082,69832
Pamlico,20 cm,7575,43589,26056,77220
Pamlico,40 cm,24425,34456,27001,85882
Pamlico,100 cm,55722,33356,30081,119159
Pasquotank,Current,0,9476,11865,21341
Pasquotank,20 cm,3967,8490,14468,26925
Pasquotank,40 cm,7457,8971,16463,32891
Pasquotank,100 cm,18140,22672,25571,66383
Pender,Current,0,20050,9617,29667
Pender,20 cm,5366,15991,9782,31139
Pender,40 cm,8774,14528,10112,33414
Pender,100 cm,16761,14946,16567,48274
Perquimans,Current,0,6021,3955,9976
Perquimans,20 cm,2890,4603,4168,11661
Perquimans,40 cm,4979,3841,4645,13465
Perquimans,100 cm,9302,7451,23309,40062
Tyrrell,Current,0,107399,74603,182002
Tyrrell,20 cm,31557,105378,61449,198384
Tyrrell,40 cm,86932,76739,43936,207607
Tyrrell,100 cm,178107,38135,11165,227407
Washington,Current,0,15722,8250,23972
Washington,20 cm,5339,12650,10179,28168
Washington,40 cm,13147,7122,11789,32058
Washington,100 cm,21185,16639,22241,60065
